,count,mean,std,min,25%,50%,75%,max
employment_rate_overall,138.0,92.8695652173913,6.287905302583348,66.7,90.6,94.05,97.175,100.0
gross_monthly_median,138.0,4297.210144927536,763.3794576700892,3050.0,3754.75,4037.5,4671.25,6600.0
